		time				value

                       0                   1.3182567e-06
           3.9547716e-13                   1.4169676e-06
           7.9095432e-13                   1.5227761e-06
           1.1864315e-12                   1.6361695e-06
           1.5819086e-12                   1.7576673e-06
           1.9773857e-12                   1.8878227e-06
            2.372863e-12                   2.0272248e-06
             2.76834e-12                   2.1765004e-06
           3.1638173e-12                   2.3363168e-06
           3.5592944e-12                   2.5073841e-06
           3.9547714e-12                   2.6904577e-06
           4.3502485e-12                   2.8863408e-06
           4.7457259e-12                   3.0958877e-06
            5.141203e-12                   3.3200065e-06
           5.5366801e-12                   3.5596624e-06
           5.9321571e-12                   3.8158814e-06
           6.3276346e-12                   4.0897526e-06
           6.7231117e-12                   4.3824343e-06
           7.1185887e-12                   4.6951545e-06
           7.5140658e-12                   5.0292188e-06
           7.9095428e-12                   5.3860122e-06
           8.3050199e-12                    5.767004e-06
           8.7004969e-12                   6.1737542e-06
           9.0959748e-12                   6.6079169e-06
           9.4914519e-12                   7.0712463e-06
           9.8869289e-12                   7.5656026e-06
           1.0282406e-11                   8.0929567e-06
           1.0677883e-11                   8.6553982e-06
            1.107336e-11                   9.2551409e-06
           1.1468837e-11                   9.8945302e-06
           1.1864314e-11                   1.0576049e-05
           1.2259791e-11                   1.1302328e-05
           1.2655269e-11                    1.207615e-05
           1.3050746e-11                   1.2900461e-05
           1.3446223e-11                   1.3778378e-05
           1.3841701e-11                   1.4713202e-05
           1.4237177e-11                   1.5708414e-05
           1.4632654e-11                   1.6767704e-05
           1.5028132e-11                   1.7894978e-05
            1.542361e-11                    1.909435e-05
           1.5819086e-11                   2.0370167e-05
           1.6214563e-11                   2.1727035e-05
            1.661004e-11                   2.3169818e-05
           1.7005519e-11                   2.4703639e-05
           1.7400994e-11                   2.6333904e-05
           1.7796471e-11                   2.8066337e-05
            1.819195e-11                   2.9906974e-05
           1.8587427e-11                   3.1862171e-05
           1.8982904e-11                   3.3938628e-05
           1.9378379e-11                   3.6143432e-05
           1.9773858e-11                   3.8484046e-05
           2.0169335e-11                   4.0968323e-05
           2.0564812e-11                   4.3604541e-05
           2.0960289e-11                   4.6401437e-05
           2.1355766e-11                   4.9368209e-05
           2.1751245e-11                   5.2514526e-05
            2.214672e-11                   5.5850567e-05
           2.2542197e-11                   5.9387065e-05
           2.2937674e-11                   6.3135325e-05
           2.3333153e-11                   6.7107198e-05
